variableMetadata	mz	rt
M184.216T35	184.2164243	34.90228225
M184.246T35	184.2455629	34.75793582
M185.044T42	185.0438389	42.35819576
M185.052T35	185.0517066	35.28692004
M185.119T427	185.1191225	426.60769
M185.119T387	185.1192526	386.5138143
M185.119T156	185.1191487	156.1375912
M186.039T1458	186.0387049	1458.028368
M186.039T1400	186.0386808	1400.426571
M186.039T1491	186.0386841	1490.788835
M186.039T146	186.0389433	145.7370532
M186.039T68	186.0388657	68.4890097
M186.039T117	186.0385931	116.8573316
M186.039T29	186.038702	29.42308298
M186.048T35	186.0481161	35.12155601
M186.19T111	186.189865	110.7779255
M186.226T491	186.225967	490.5168952
M187T1032	187.0004212	1032.215848
M187T1374	187.0000282	1374.00673
M187T803	186.999958	803.4256682
M187T832	187.0000092	831.5345116
M187T929	187.0000852	928.5996311
M187T870	187.000001	869.9260499
M187.018T274	187.0181306	273.7219282
M187.019T120	187.0188397	120.4187023
M187.027T265	187.0266233	265.0006421
M187.033T167	187.032591	166.9694586
M187.032T238	187.0320748	237.5659424
M187.035T69	187.0354016	68.60032195
M187.051T35	187.0514328	34.87908215
M187.096T158	187.0960785	158.0299782
M187.122T1374	187.1222329	1374.010399
M187.129T633	187.1291818	633.3993032
M187.166T1374	187.1657885	1373.665902
M187.193T111	187.1932004	110.7779255
M188.003T1374	188.0030547	1374.010399
M188.073T132	188.0727147	131.7827339
M188.075T161	188.0747998	161.0648945
M189.048T75	189.048001	75.3230243
M189.057T114	189.0569528	113.9544688
M189.078T161	189.0780291	160.8594757
M189.139T40	189.1392602	40.00865179
M190.051T75	190.0514542	75.34771535
M190.992T1409	190.9920231	1408.737546
M191.029T43	191.0292966	42.92890275
M191.075T468	191.0749099	467.7632591
M191.15T43	191.1502526	42.79099942
M191.545T43	191.5453623	42.73131723
M192.013T66	192.0133179	65.98777196
M192.037T45	192.0370449	44.53104692
M192.07T413	192.070144	412.8782981
M192.07T372	192.0701392	372.1976775
M192.072T161	192.0716701	161.3925697
M192.164T54	192.1640941	54.19398456
M193.054T227	193.0542163	226.9189427
M193.054T251	193.0541812	251.1644414
M193.054T282	193.0542599	281.9852544
M193.054T376	193.0543578	375.6083205
M193.167T54	193.1669445	54.19398456
M194.089T161	194.0888638	161.4801001
M194.122T882	194.122261	881.6833679
M195.009T1387	195.0087759	1386.783857
M195.126T882	195.1258557	881.6373478
M195.128T161	195.1276081	160.7809315
M195.252T160	195.2520461	159.9041929
M196.103T163	196.1027932	162.7722868
M196.226T161	196.2260986	160.9269153
M196.956T1486	196.9556636	1486.412887
M196.955T1383	196.9554643	1382.603747
M196.956T1451	196.9556673	1450.676024
M196.956T1423	196.9556508	1423.252202
M196.957T38	196.957205	37.98226468
M197.004T1391	197.004177	1391.030821
M197.005T1484	197.0048548	1483.871238
M197.005T1451	197.0048964	1451.375755
M197.005T1421	197.004879	1420.898963
M197.004T29	197.0038529	29.22591968
M197.005T1398	197.0049101	1398.408517
M197.082T358	197.0822208	357.6295469
M197.107T162	197.1065261	161.6059958
M197.959T1382	197.9587707	1382.396518
M198.007T1392	198.006638	1392.158578
M198.012T73	198.0117469	72.71593071
M198.058T76	198.0575396	76.02624862
M198.082T56	198.0815412	56.16366547
M198.094T45	198.0941418	44.81596239
M198.102T41	198.1017651	40.74801808
M198.956T1376	198.9563489	1375.840939
M199.006T1440	199.005551	1439.698272
M199.006T1401	199.0055891	1401.327441
M199.005T1490	199.0054981	1490.298178
M199.005T1378	199.0052468	1377.858474
M199.084T56	199.0839993	55.94256278
M199.135T340	199.1346368	339.9830336
M199.135T304	199.1349055	304.0188951
M199.135T387	199.134621	386.6737302
M200.028T1413	200.0275403	1412.74582
M200.028T125	200.0279418	124.77041
M200.025T1380	200.0253644	1379.620908
M200.028T61	200.0277535	60.84372928
M200.028T1484	200.0275606	1484.01828
M200.028T1453	200.0275369	1453.035425
M200.154T61	200.1538528	61.10809113
M200.202T47	200.2018057	46.77621241
M200.326T38	200.3261119	37.58915919
M200.551T41	200.5508245	40.88334602
M200.952T1376	200.9520858	1375.786841
M201.002T1378	201.0015495	1378.422235
M201.031T49	201.0309736	48.69266527
M201.115T161	201.1145633	161.4562279
M201.558T41	201.5579146	40.73211275
M202.03T48	202.0299368	47.55183115
M202.185T64	202.1849243	64.39155678
M202.976T1375	202.9761252	1375.115924
M202.993T120	202.9926519	120.4187023
M203.006T172	203.0055129	172.1778441
M203.014T76	203.0140739	76.17992404
M203.045T35	203.0452566	35.14753391
M203.052T182	203.0522911	181.7081329
M203.057T41	203.0569749	40.69466987
M203.061T117	203.0605714	117.2405443
M203.057T147	203.0567201	147.3111663
M203.155T43	203.1547398	42.72077397
M203.187T63	203.1873641	62.75434469
M203.19T116	203.1898057	116.4964514
M204.023T56	204.0229174	55.61276557
M204.026T140	204.0257836	139.6969425
M204.046T35	204.0461759	34.83828696
M204.065T117	204.0654141	116.5462494
M204.149T157	204.1487823	156.8162256
M205.034T75	205.0341856	74.94474155
M205.034T26	205.0335829	26.10349502
M205.034T145	205.0340146	144.5789435
M205.034T121	205.0338442	121.2300546
M205.034T1426	205.0336691	1426.151784
M205.034T1484	205.0336613	1484.158178
M205.039T41	205.0392755	40.85983182
M205.091T1062	205.0913687	1062.124539
M205.102T162	205.1020677	161.7900827
M205.148T653	205.1482021	652.963657
M206.105T161	206.1053841	160.8962877
M206.144T85	206.1436706	84.86755408
M207.055T116	207.0551681	116.4964514
M207.13T467	207.1297276	466.5411162
M207.212T1014	207.2120531	1014.325814
M207.212T1047	207.2121923	1047.232963
M208.069T56	208.0688139	55.9698112
M208.101T596	208.1012957	595.7406437
M208.16T73	208.1595316	73.2787731
M209.097T163	209.0972919	162.6314172
M209.122T282	209.1224648	281.7587599
M209.143T162	209.1428849	161.7900827
M209.159T965	209.1586447	965.160199
M209.163T73	209.1627986	73.2787731
M210.995T55	210.9953414	55.27073531
M211.007T54	211.0066983	53.66371423
M211.558T43	211.5576023	42.87408151
M212.059T43	212.0587759	43.10170323
M212.154T160	212.1544119	159.9041929
M212.997T1408	212.9972177	1407.69006
M212.997T26	212.9971553	26.40547658
M212.997T1498	212.9966648	1497.932751
M212.997T5	212.9971731	5.350926239
M213.047T151	213.0474211	150.8601642
M213.073T844	213.072529	843.5521616
M213.078T339	213.0784967	339.4323977
M213.152T626	213.1516647	626.4987147
M213.151T319	213.1507766	319.2416899
M213.151T381	213.1509254	381.2299073
M214.044T43	214.0443551	43.11736444
M214.147T54	214.1465047	54.19398456
M214.993T1395	214.9929628	1395.499965
M214.993T25	214.9927177	24.65408298
M214.993T61	214.9929136	61.01814412
M214.993T120	214.9927716	120.4254627
M214.993T144	214.9929096	143.9426596
M214.993T1471	214.9928178	1471.422887
M215.057T153	215.0572868	152.9135144
M215.131T313	215.1305228	313.3815351
M215.149T54	215.1485199	54.01514909
M215.997T1384	215.9968792	1384.417477
M215.998T1425	215.9982319	1424.961326
M215.998T1492	215.9980793	1491.786232
M215.998T1464	215.9981544	1464.344888
M216.059T50	216.0594169	49.53159556
M216.067T40	216.066601	39.85792526
M216.165T592	216.16452	591.8338848
M217.007T73	217.0073905	72.80227378
M217.05T457	217.049706	456.853983
M217.092T523	217.0919829	522.6558611
M217.11T161	217.1100291	160.94961
M218.031T116	218.0307812	116.3328801
M218.094T167	218.0939903	166.718604
M218.109T160	218.1093443	159.5364508
M219.023T60	219.0234597	60.1669643
M219.024T122	219.0237131	122.1910723
M219.025T19	219.0251774	18.68195136
M219.03T40	219.0299167	40.1990822
M219.111T160	219.1113039	160.1418956
M219.155T60	219.154802	60.32655913
M220.027T61	220.0267871	61.20671204
M220.027T136	220.0266677	135.5599547
M220.033T41	220.0332159	40.70861402
M220.124T160	220.1236748	160.0181729
M220.151T146	220.1512752	146.0596063
M221.027T63	221.0272255	63.07605839
M221.027T108	221.0269713	107.9490375
M221.034T48	221.0335955	48.46725738
M221.045T41	221.0447066	40.67084083
M221.058T844	221.0580535	843.5204511
M221.155T144	221.1549583	144.238345
M221.191T40	221.1908099	39.95115055
M222.072T161	222.0717941	161.4066678
M222.149T147	222.1487163	146.9438845
M223.016T38	223.0158514	37.92836316
M223.024T50	223.0243536	50.20976074
M223.102T812	223.1020683	811.8295584
M223.152T141	223.1521415	141.2011627
M224.108T812	224.1079301	811.8069753
M224.998T1383	224.9980185	1383.359541
M225.015T35	225.0153242	35.03480965
M225.093T67	225.0927915	66.55150177
M226.185T665	226.185479	664.9637722
M227.131T653	227.1308767	652.9781604
M228.024T59	228.0238333	59.06623672
M228.161T34	228.161078	34.15728696
M228.985T43	228.9848419	42.93703142
M229.027T59	229.0269805	59.05113262
M229.075T154	229.0748162	154.4469063
M230.076T78	230.0757274	78.28871982
M231.025T149	231.025301	149.4926223
M231.071T580	231.0710466	580.336997
M231.079T81	231.078798	81.14246062
M231.086T116	231.0863262	116.3328801
M231.126T162	231.1259236	161.5036935
M232.053T66	232.0531684	65.843137
M232.074T580	232.0742891	580.3817762
M233.003T1419	233.0032612	1418.935274
M233.003T47	233.0030648	46.98819905
M233.039T77	233.039121	76.86550948
M233.066T174	233.0664038	174.1856394
M233.066T219	233.0658464	219.2271564
M233.066T250	233.0659806	250.2098191
M233.073T159	233.072628	158.7225852
M233.087T730	233.0866926	730.4498937
M233.086T335	233.0862173	334.8901752
M233.087T457	233.0868161	456.7400805
M233.222T457	233.2222556	456.8106391
M233.988T1410	233.9880009	1410.45023
M233.988T73	233.9880033	72.86754902
M233.988T1433	233.9879087	1432.592887
M233.988T1481	233.9878542	1481.438178
M233.988T28	233.9877144	27.81040692
M234.035T54	234.0346582	53.6102854
M234.072T162	234.072153	162.1225393
M234.09T457	234.0900615	456.7481627
M234.09T730	234.0899507	730.3936058
M235.02T58	235.0197566	58.26516536
M235.054T45	235.0542022	45.46142064
M235.066T367	235.06579	366.8820445
M235.079T160	235.0794775	160.2165359
M235.093T457	235.0926071	456.783442
M235.942T1390	235.9415156	1390.287128
M236.147T683	236.1469644	682.806224
M237.017T50	237.016508	50.23187904
M237.067T43	237.0671219	42.79099942
M237.118T990	237.1182832	990.2604103
M237.983T1381	237.9833507	1381.136467
M237.985T45	237.9847862	44.99060373
M238.126T465	238.1262579	464.7474275
M238.144T683	238.1439534	682.806224
M239.095T388	239.0947903	388.018465
M239.155T162	239.1549831	162.168282
M239.167T691	239.1673401	690.5519601
M239.985T1375	239.984739	1375.163948
M240.16T162	240.1598625	161.5039724
M240.993T35	240.9932963	35.2898306
M241.005T52	241.0054373	51.59977781
M241.183T585	241.1830861	584.5106889
M241.995T35	241.9949843	35.27706347
M242.106T154	242.1059452	153.7966787
M243.025T35	243.0251037	34.83828696
M243.104T144	243.1035594	143.6083515
M243.142T1063	243.1416077	1063.248763
M243.189T159	243.1894919	158.6906619
M243.189T252	243.18925	252.4947816
M243.691T155	243.6910509	155.457958
M243.996T59	243.9963887	59.07307145
M244.029T35	244.0288144	34.85233725
M244.085T43	244.084861	42.86749883
M244.099T51	244.0985866	51.41389862
M244.137T35	244.1374666	34.54500121
M244.197T665	244.1969198	664.9751397
M245.025T35	245.0246099	34.87908215
M245.069T56	245.0692583	56.17798893
M245.085T812	245.0848828	811.8295584
M245.083T66	245.0828332	65.87042011
M245.105T127	245.1050882	126.7105355
M245.11T243	245.1104955	242.640609
M245.224T812	245.2239597	811.8618899
M246.042T490	246.041952	489.868295
M246.074T42	246.0735987	42.2778141
M246.087T66	246.0867434	65.91298311
M246.088T812	246.0882289	811.8096386
M247.022T45	247.0223041	44.53104692
M247.056T167	247.0555722	166.9039778
M247.085T54	247.0845711	53.64532206
M247.09T812	247.0904253	811.8069753
M247.139T380	247.1385901	380.4297177
M247.135T127	247.1347366	127.391449
M248.033T56	248.0327506	56.32011728
M248.059T166	248.0589358	166.3133233
M248.203T34	248.2026055	34.00584299
M249.036T43	249.0356033	43.09426429
M249.071T114	249.0709134	113.6865203
M249.071T75	249.0708048	75.34771535
M249.097T116	249.0969013	116.3328801
M249.117T283	249.117259	283.0812409
M249.119T908	249.1192315	908.1028686
M249.12T929	249.1204036	928.7094503
M249.16T278	249.1604723	277.7968245
M249.188T945	249.1880204	944.7952755
M249.212T759	249.2117458	758.5998478
M250.007T59	250.0074568	59.17705839
M250.1T160	250.0999594	159.9299313
M251.05T43	251.0504682	42.79140527
